N,psi_type,rank,computation_time,num_I,num_a,J_shape,filename,success
4,random,11,0.006369113922119141,6,6,"torch.Size([36, 12])",spectrum_4_random.png,True
6,random,39,0.005766153335571289,15,20,"torch.Size([225, 40])",spectrum_6_random.png,True
